Quotazioni Fantacalcio Stagione 2023 24;;;;;;;;;;;;;;;;;;;;;
Id;R;RM;Nome;Squadra;Qt.A;Qt.I;Diff.;Qt.A M;Qt.I M;Diff.M;FVM;FVM M;offerta massima;fascia;indice squadra;titolarita;rigori;punizioni;angoli;note;Check su altro file 
6256;D;"Dd;E";Ferreira J.;Udinese;2;1;1;2;1;1;1;1;0;7;12;3;;;;;KO
464;D;"Dd;Ds;E";Florenzi;Milan;2;3;-1;3;4;-1;5;7;2;6;7;3;;;;;KO
4502;D;"Ds;E";Gallo;Lecce;6;5;1;6;5;1;9;9;4;5;2;6;;;;;KO
5831;D;Dc;Gatti;Juventus;6;6;0;6;6;0;12;12;5;5;5;5;;;;;KO
5867;D;"Dd;E";Gendrey;Lecce;6;6;0;6;6;0;8;9;3;6;3;7;;;;;KO
5833;D;Dc;Gila;Lazio;1;1;0;1;1;0;2;2;1;6;8;2;;;;;KO
418;D;Dc;Goldaniga;Cagliari;3;3;0;3;3;0;3;3;1;6;8;2;;;;;KO
6056;D;Dc;Guarino;Empoli;1;1;0;1;1;0;2;2;1;6;10;1;;;;;KO
6023;D;Dc;Guessand A.;Udinese;1;1;0;1;1;0;1;1;0;7;11;2;;;;;KO
2758;D;Dc;Gunter;Verona;3;4;-1;3;4;-1;4;4;2;6;8;2;;;;;KO
660;D;Dc;Gyomber;Salernitana;6;6;0;6;6;0;7;7;3;6;4;5;;;;;KO
5695;D;"Ds;E";Haps;Genoa;2;2;0;2;2;0;4;4;2;6;9;2;;;;;KO
2130;D;E;Hateboer;Atalanta;6;7;-1;5;6;-1;10;10;4;5;10;5;;;;Infortunato (Maggio-Febbraio);KO
6438;D;"Dd;Dc";Hatzidiakos;Cagliari;5;5;0;5;5;0;7;7;3;6;6;5;;;;;KO
5748;D;"Dd;E";Hefti;Genoa;3;3;0;3;3;0;4;4;2;6;8;2;;;;;KO
4292;D;"Ds;E";Hernandez T.;Milan;18;17;1;18;17;1;88;88;35;1;1;9;2;3;2;;KO
6046;D;Dc;Hien;Verona;7;8;-1;7;8;-1;15;15;6;5;3;5;;;;;KO
5678;D;E;Holm;Atalanta;10;10;0;9;9;0;20;18;8;5;6;4;;;;;KO
6433;D;Dc;Huijsen;Juventus;1;1;0;1;1;0;1;1;0;7;8;2;;;;;KO
140;D;"Dd;Ds;E";Hysaj;Lazio;7;7;0;8;8;0;15;18;6;5;4;6;;;;;KO
5010;D;Dc;Ismajli;Empoli;5;5;0;5;5;0;9;9;4;5;4;6;;;;;KO
226;D;Dc;Izzo;Monza;7;8;-1;7;8;-1;18;18;7;5;1;8;;;;+;KO
256;D;"Ds;Dc";Juan Jesus;Napoli;6;5;1;7;6;1;21;25;8;5;5;4;;;;;KO
4263;D;Dc;Kabasele;Udinese;5;5;0;5;5;0;5;5;2;6;5;6;;;;;KO
6430;D;Dc;Kalaj;Frosinone;1;1;0;1;1;0;1;1;0;7;8;1;;;;;KO
4976;D;"Dd;Dc";Kalulu;Milan;7;7;0;8;8;0;15;17;6;5;5;5;;;;;
5555;D;"Ds;E";Kamara H.;Udinese;7;6;1;7;6;1;10;10;4;5;3;6;;;;coppa dafrica;KO
2180;D;"Dd;E";Karsdorp;Roma;3;2;1;3;2;1;5;5;2;6;8;4;;;;;KO
6235;D;"Dd;Ds;E";Kayode;Fiorentina;2;1;1;3;2;1;8;8;3;6;8;4;;;;;KO
2633;D;Dc;Kjaer;Milan;3;4;-1;3;4;-1;8;8;3;6;6;4;;;;;KO
2640;D;"Ds;Dc";Kolasinac;Atalanta;9;9;0;10;10;0;22;27;9;5;4;7;;;;gioca alto;KO
6220;D;"Dd;E";Kristensen;Roma;8;9;-1;8;9;-1;10;10;4;5;5;7;;;;;KO
6485;D;Dc;Kristensen T.;Udinese;2;2;0;2;2;0;3;3;1;6;10;1;;;;;KO
6148;D;"Ds;E";Kristiansen;Bologna;7;6;1;7;6;1;22;22;9;5;2;7;;;;;KO
4495;D;Dc;Kumbulla;Roma;2;3;-1;2;3;-1;3;3;1;6;9;1;;;;Crociato (aprile-dicembre);KO
4530;D;"Ds;E";Kyriakopoulos;Monza;8;9;-1;8;9;-1;15;15;6;5;4;4;;;;;KO
4385;D;E;Lazaro;Torino;4;4;0;4;4;0;8;8;3;6;7;4;;;;;KO
2263;D;"Dd;E";Lazzari;Lazio;6;5;1;6;5;1;16;16;6;5;1;5;;;;;KO
2006;D;"Dd;E";Lirola;Frosinone;3;3;0;3;3;0;5;5;2;6;2;7;;;;;KO
5239;D;Dc;Llorente D.;Roma;6;6;0;6;6;0;17;17;7;5;6;4;;;;;KO
4934;D;Dc;Lovato;Salernitana;5;4;1;5;4;1;6;6;2;6;5;5;;;;;KO
6042;D;Dc;Lucumi';Bologna;7;7;0;7;7;0;16;16;6;5;3;8;;;;;KO
393;D;Dc;Luperto;Empoli;7;8;-1;7;8;-1;10;10;4;5;3;8;;;;;KO
2653;D;"Ds;E";Lykogiannis;Bologna;5;5;0;5;5;0;8;8;3;6;5;4;;;;;KO
2769;D;Dc;Magnani;Verona;3;3;0;3;3;0;4;4;2;6;7;5;;;;;KO
2296;D;Dc;Mancini;Roma;10;11;-1;10;11;-1;26;26;10;4;2;7;;;;questanno me lo sento;KO
2252;D;"Ds;Dc";Marchizza;Frosinone;6;5;1;7;6;1;5;7;2;6;5;4;;;;;KO
4904;D;Dc;Mari';Monza;8;9;-1;8;9;-1;18;18;7;5;2;8;;;;;KO
142;D;"Ds;E";Mario Rui;Napoli;10;10;0;10;10;0;20;20;8;5;4;5;;2;;;KO
2593;D;"Ds;E";Martin;Genoa;8;8;0;8;8;0;12;12;5;5;1;8;;;;sco;KO
5323;D;Dc;Martinez Quarta;Fiorentina;5;6;-1;5;6;-1;7;7;3;6;6;4;;;;;KO
2188;D;"Dd;Ds;E";Marusic;Lazio;7;7;0;8;8;0;15;20;6;5;5;6;;;;;KO
49;D;"Ds;Dc";Masina;Udinese;5;6;-1;6;7;-1;7;8;3;6;6;5;;;;"noie muscolari (rientro metà settembre); coppa dafrica";KO
6411;D;Dc;Mateus Lusuardi;Frosinone;1;1;0;1;1;0;1;1;0;7;7;1;;;;;KO
6244;D;Dc;Matturro;Genoa;1;1;0;1;1;0;1;1;0;7;11;1;;;;;KO
5481;D;"Dd;Ds;E";Mazzocchi;Salernitana;11;12;-1;13;14;-1;37;41;15;3;1;8;;;3;anno scorso top;KO
2164;D;Dc;Milenkovic;Fiorentina;10;10;0;10;10;0;26;26;10;4;2;8;;;;;KO
4210;D;Dc;Mina;Fiorentina;7;8;-1;7;8;-1;12;12;5;5;5;6;;;;;KO
6189;D;"Dd;E";Missori;Sassuolo;2;1;1;2;1;1;1;1;0;7;7;3;;;;;KO
4952;D;Dc;Monterisi;Frosinone;5;1;4;5;1;4;6;6;2;6;4;7;;;;sorpr;KO
6396;D;Dc;Natan;Napoli;8;9;-1;8;9;-1;17;17;7;5;6;4;;;;;KO
4317;D;Dc;N'dicka;Roma;8;9;-1;8;9;-1;18;18;7;5;3;7;;;;"  a poco è affare; coppa dafrica";KO
6253;D;Dc;N'guessan;Torino;1;1;0;1;1;0;1;1;0;7;11;2;;;;;KO
5701;D;Dc;Obert;Cagliari;5;5;0;5;5;0;6;6;2;6;7;4;;;;;KO
4432;D;Dc;Okoli;Frosinone;1;2;-1;1;2;-1;7;7;3;6;3;7;;;;;KO
5840;D;"Ds;E";Olivera;Napoli;7;7;0;7;7;0;24;24;10;4;3;6;;;;;KO
5750;D;Dc;Ostigard;Napoli;3;4;-1;3;4;-1;9;9;4;5;7;3;;;;frega il poso a juan jesus;KO
6238;D;"Dd;Ds;Dc";Oyono;Frosinone;2;1;1;2;1;1;8;12;3;6;1;7;;;;+ sco;KO
2181;D;Dc;Palomino;Atalanta;6;7;-1;6;7;-1;8;8;3;6;9;4;;;;;KO
5449;D;"Ds;E";Parisi;Fiorentina;7;8;-1;7;8;-1;20;20;8;5;4;5;;;;con Biraghi?;KO
327;D;"Dd;Dc";Patric;Lazio;4;5;-1;5;6;-1;5;6;2;6;7;5;;;;;KO
4177;D;"Dd;Dc";Pavard;Inter;14;14;0;15;15;0;48;50;19;3;3;8;;;;;KO
6426;D;"Dd;E";Pedersen;Sassuolo;7;7;0;7;7;0;10;10;4;5;4;6;;;;;KO
2728;D;"Ds;E";Pellegrini Lu.;Lazio;4;4;0;4;4;0;8;8;3;6;6;4;;;;;KO
6460;D;Dc;Pellegrino;Milan;1;1;0;1;1;0;1;1;0;7;8;2;;;;;KO
729;D;"Dd;E";Pereira P.;Monza;1;1;0;1;1;0;1;1;0;7;9;2;;;;;KO
