Voti Italia 2 giornata di campionato;;;;;;;;;;;;;;
Solo su www.fantacalcio.it i voti ufficiali per la tua lega;;;;;;;;;;;;;;
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET;;;;;;;;;;;;;;
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT;;;;;;;;;;;;;;
ATALANTA;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Gdv;Gdp
5510;C;ROMERO L.;6*;0;0;0;0;0;0;0;0;0;0;0
335;C;FELIPE ANDERSON;7,5;1;0;0;0;0;0;0;0;0;0;0
785;A;IMMOBILE;8;3;0;0;1;0;0;0;0;0;1;0
2489;A;PEDRO;7;0;0;0;0;0;0;0;0;1;0;0
4938;A;MORO;6,5;0;0;0;0;0;0;0;0;1;0;0
5012;A;MURIQI;6*;0;0;0;0;0;0;0;0;0;0;0
688;ALL;SARRI;7;0;0;0;0;0;0;0;0;0;0;0
MILAN;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Gdv;Gdp
4312;P;MAIGNAN;6;0;1;0;0;0;0;0;0;0;0;0
4292;D;HERNANDEZ T.;6,5;0;0;0;0;0;0;0;0;0;0;0
357;D;CALABRIA;6,5;0;0;0;0;0;0;0;0;0;0;0
464;D;FLORENZI;6;0;0;0;0;0;0;0;0;0;0;0
2633;D;KJAER;6,5;0;0;0;0;0;0;0;0;0;0;0
4751;D;TOMORI;6;0;0;0;0;0;0;0;0;0;0;0
2818;C;BENNACER;6;0;0;0;0;0;0;0;0;0;0;0
4892;C;SAELEMAEKERS;6;0;0;0;0;0;0;0;0;0;0;0
4896;C;MALDINI;6*;0;0;0;0;0;0;0;0;0;0;0
148;C;KRUNIC;6,5;0;0;0;0;0;0;0;0;0;0;0
4449;C;TONALI;7;1;0;0;0;0;0;0;0;0;0;0
2692;C;CASTILLEJO;6*;0;0;0;0;0;0;0;0;0;0;0
4825;C;DIAZ B.;7;0;0;0;0;0;0;1;0;1;0;0
4200;A;GIROUD;7,5;1;0;0;0;1;0;0;0;0;0;0
