Statistiche Fantacalcio Stagione 2022 23  Italia;;;;;;;;;;;;;;;;;
Id;R;Rm;Nome;Squadra;Pv;Mv;Fm;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au
4331;D;Dc;Ibanez;Roma;33;5,79;5,83;3;0;0;0;0;0;0;9;1;1
4976;D;"Dd;Dc";Kalulu;Milan;32;5,77;5,8;1;0;0;0;0;0;0;4;0;0
4994;D;E;Vojvoda;Torino;28;5,93;6,05;0;0;0;0;0;0;5;3;0;0
5239;D;Dc;Llorente D.;Roma;8;6;6;0;0;0;0;0;0;0;0;0;0
5323;D;Dc;Martinez Quarta;Fiorentina;27;5,98;6,02;1;0;0;0;0;0;1;6;0;0
5693;D;Dc;Kiwior;Spezia;17;5,91;5,82;0;0;0;0;0;0;0;3;0;0
5867;D;"Dd;Dc";Gendrey;Lecce;36;5,86;5,83;0;0;0;0;0;0;1;4;0;0
6046;D;Dc;Hien;Verona;32;5,92;5,78;0;0;0;0;0;0;0;9;0;0
327;D;"Dd;Dc";Patric;Lazio;17;6,12;6,09;0;0;0;0;0;0;0;1;0;0
660;D;Dc;Gyomber;Salernitana;23;6,11;6,04;0;0;0;0;0;0;1;5;0;0
2318;D;"Ds;E";Rogerio;Sassuolo;35;5,83;5,81;0;0;0;0;0;0;3;5;1;0
2583;D;Dc;Umtiti;Lecce;24;6,12;5,96;0;0;0;0;0;0;0;8;0;0
2870;D;Dc;Troost-Ekong;Salernitana;8;5,88;6,19;1;0;0;0;0;0;0;1;0;0
4329;D;Dc;Nikolaou;Spezia;34;5,75;5,69;1;0;0;0;0;0;0;8;1;0
4332;D;Dc;Demiral;Atalanta;22;5,98;6;1;0;0;0;0;0;0;5;0;0
4385;D;E;Lazaro;Torino;20;6;6,05;0;0;0;0;0;0;3;4;0;0
4433;D;"Dd;Ds;E";Zortea;Sassuolo;15;5,93;6,03;1;0;0;0;0;0;1;5;0;0
4719;D;Dc;Ampadu;Spezia;31;6;5,87;0;0;0;0;0;0;1;8;1;0
5514;D;"Ds;Dc";Vasquez;Cremonese;23;5,83;5,8;1;0;0;0;0;0;0;7;0;0
5532;D;"Ds;E";Bradaric;Salernitana;30;5,75;5,77;0;0;0;0;0;0;3;5;0;0
5718;D;Dc;Viti;Empoli;0;0;0;0;0;0;0;0;0;0;0;0;0
6027;D;Dc;Lochoshvili;Cremonese;24;5,88;5,96;1;0;0;0;0;0;1;4;0;0
6047;D;"Dd;E";Ehizibue;Udinese;21;5,76;5,9;2;0;0;0;0;0;0;7;0;0
6055;D;Dc;Thiaw;Milan;19;5,95;5,82;0;0;0;0;0;0;0;5;0;0
253;D;"Dd;Ds;Dc";D'ambrosio;Inter;13;5,85;5,85;0;0;0;0;0;0;2;2;1;0
272;D;Dc;Medel;Bologna;23;5,96;5,89;0;0;0;0;0;0;1;5;0;0
487;D;"Dd;E";De Silvestri;Bologna;13;5,92;5,96;1;0;0;0;0;0;0;1;0;1
1891;D;"Dd;Dc";Ceccherini;Verona;20;5,85;5,88;2;0;0;0;0;0;0;9;1;0
1895;D;Dc;Ferrari G.;Sassuolo;27;5,83;5,85;1;0;0;0;0;0;0;5;0;0
2653;D;"Ds;E";Lykogiannis;Bologna;20;5,95;6,18;2;0;0;0;0;0;0;3;0;0
