Id;R;RM;Nome;Squadra;Qt.A;FVM;Indice appetibilità;Titolarita;Rigori;Punizioni;angoli;Indice Squadra;Fascia;Offerta max;Note
4521;D;"Dd;E";Muldur;Sassuolo;5;2;45;4;;;;;;1;frattura, metà novembre
4522;C;"M;C";Amrabat;Fiorentina;8;14;69;6;;;;;;6;
4525;P;Por;Gemello;Torino;1;1;10;1;;;;;;0;
4530;D;"Ds;E";Kyriakopoulos;Sassuolo;6;12;63;6;;;;;;5;
4657;D;"Dd;E";Celik;Roma;7;13;60;5;;;;;;5;
4658;C;"W;A";Ikone';Fiorentina;14;28;79;8;;;;;;11;
4661;A;Pc;Osimhen;Napoli;36;325;90;9;1;;;;;130;
4681;C;"M;C";Lopez M.;Sassuolo;9;16;69;8;;3;;;;6;
4711;C;"E;W";Kostic;Juventus;15;38;81;5;;;;;;15;
4725;C;M;Demme;Napoli;4;5;0;3;;;;;;2;seconda metà di settembre
4730;A;"W;A";Lookman;Atalanta;14;32;72;5;;;;;;13;
4751;D;Dc;Tomori;Milan;15;36;90;9;;;;;;14;
4758;D;Dc;Benkovic;Udinese;4;6;59;5;;;;;;2;
4825;C;"W;T";Diaz B.;Milan;13;26;68;5;;2;;;;10;
4869;C;"M;C";Dominguez;Bologna;8;12;74;8;;;;;;5;
4870;D;Dc;Adopo;Torino;1;4;63;4;;;;;;2;
4885;C;"M;C";Villar;Sampdoria;7;13;70;7;;;;;;5;
4887;D;E;Bellanova;Inter;8;14;64;5;;;;;;6;
4890;C;"M;C";Tameze;Verona;13;24;73;8;;;;;;10;
4891;D;Dc;Soumaoro;Bologna;4;8;69;8;;;;;;3;
4892;C;W;Saelemaekers;Milan;8;14;61;5;;;;;;6;
4896;C;"T;A";Maldini;Spezia;2;5;64;5;;;;;;2;
4897;D;Dc;Pirola;Salernitana;4;5;60;6;;;;;;2;
4899;D;E;Singo;Torino;14;33;77;8;;;;;;13;**
4904;D;Dc;Mari';Monza;10;19;75;8;;;;;;8;
4921;C;C;Askildsen;Lecce;3;4;62;6;;;;;;2;
4923;A;Pc;Colombo;Lecce;7;13;60;5;;;;;;5;
4925;D;"Ds;Dc";Carboni;Monza;5;8;66;7;;;;;;3;
4934;D;Dc;Lovato;Salernitana;6;13;66;8;;;;;;5;fine settembre
4938;A;A;Moro;Lazio;1;1;60;3;;;;;;0;
4945;D;"Ds;E";Calafiori;Roma;2;2;42;2;;;;;;1;
4946;D;"Ds;E";Frabotta;Lecce;4;7;64;8;;;;;;3;
4957;P;Por;Montipo';Verona;10;22;75;9;;;;;;9;
4958;D;"Ds;Dc";Caldirola;Monza;4;3;60;5;;;;;;1;
4960;D;Dc;Tuia;Lecce;3;4;58;7;;;;;;2;
4964;P;Por;Vicario;Empoli;9;17;72;9;;;;;;7;
4965;C;"M;C";Marin;Empoli;7;13;75;8;;2;;;;5;
4970;C;W;Messias;Milan;13;36;68;6;;;;;;14;
4973;C;"C;W";Mckennie;Juventus;11;9;60;5;;;;;;4;
